智能化	企业有智能化发展的相关计划，请简述。	智能制造,智能化,智能管理,智能工厂,智能物流,智能两化融合,大数据
扶贫支出	扶贫支出（万元）	扶贫支出,扶贫投入,扶贫贷款,扶贫资金
品牌建设	请列举企业在评价期内的相关品牌得奖状况，并注明具体奖项和授予机构。	中国500最具价值品牌,品牌价值榜,全球品牌价值500强,品牌价值,国家品牌计划,品牌奖,品牌形象奖,品牌建设,行动,实践,战略,案例,范例,规划,计划,理念,驰名商标
风险控制体系建设	企业有风险识别并建立了风险控制体系，请列举企业评价期内重要专项风险控制办法，并简述。	风险,风险控制体系,风险控制,风险管理,风险管控,风险防控,风险评估,风险预警
利税贡献	企业纳税总额（万元）	营业税金及附加
扶贫支出	企业当年公共设施投资或产业扶贫的情况，列出项目或案例。	扶贫,帮扶,贫困,脱贫
舆论负面反应	企业在项目建设和运营过程中，是否发生因与当地关系处理不当，造成公众舆论的负面反应，并未能妥善处理的事件。	舆论,舆情,公众,维权,丑闻,负面新闻
客户满意度缺失	企业在评价期内较上年出现客户投诉率明显增多等情况。	客户投诉,客户反馈,投诉率
研发投入	企业研发投入在本行业中的排名	研发投入,科研投入,科研经费,技术开发投入,科研资金
客户信息保护	企业有客户信息保护的制度、措施，并请提供相关佐证资料或网页链接。	客户信息保护,隐私保护,消费者信息,保密工作管理,信息泄露
污染防治成效	企业制定了减少外排污染物的目标计划。	企业增加值
创新成果	企业在过去三年获得国家科学技术奖或管理创新奖，及具体等级，如一等项、二等奖、三等奖等	国家科学技术奖,国家科学技术进步,国家管理创新奖,国家企业管理现代化创新成果,国家省一等奖,国家科学进步奖,国家优秀民营科技企业奖,国家技术发明奖,国家科技发展奖,国家科技创新奖,国家创新奖,国家创新成果奖,国家科技奖,国家科技成果奖,省科学技术奖,省科学技术进步,省管理创新奖,省企业管理现代化创新成果,省省一等奖,省科学进步奖,省优秀民营科技企业奖,省技术发明奖,省科技发展奖,省科技创新奖,省创新奖,省创新成果奖,省科技奖,省科技成果奖,中国一等奖,中国特等奖,中国金奖,协会一等奖,协会特等奖,协会金奖,联合会一等奖,联合会特等奖,联合会金奖
清洁能源利用	清洁能源的生产量（吨）	清洁能源,新能源,水能,太阳能,风能,核能,地热能,天然气,光伏,水电,核电,风电,绿色信贷,绿色投资,绿色金融
碳减排成效	评价期内温室气体排放量（吨CO₂当量）	碳排放量,碳排放,碳足迹
资源管理体系	企业建有主要资源管理制度。	绿色信贷,节水,节电,节能,GB/T 23331,能源管理体系,能源管理,水管理,原材料,能源利用率,水资源管理,能效,原材料利用率
可持续发展战略	企业有可持续发展战略，并请提供相关佐证资料或网页链接。	可持续发展
环境信息公开	定期公布企业有关的环境信息，请提供相关佐证资料或网页链接。	排污,化学需氧量,COD,挥发性有机物,VOC,二氧化硫,SO2,氮氧化物,NOx,温室气体,排放量,减排量,碳减排,固体废弃物排放,固废排放
碳减排成效	企业制定了碳减排计划，包括提高能源利用效率、碳回收等。	温室气体,CO2,二氧化碳,碳排放
社区发展支持	企业有支持所在地社区发展的具体行动，如为社区投资、支持社区基础设施建设、社区共建等，并请简要描述。	基础设施投资道路,桥梁,水井,医院,学校,社区共建,支持社区发展
员工参与	企业有员工参与的相关制度。	工会,职工代表大会,股权激励,基层创新成果,建言,建议,献策,民主管理,民主参与
劳动关系	企业及下属公司在评价期内是否因劳动关系负面事件受到国家或省部级相关部门的通报批评或处罚，请分别注明具体涉及公司名称及通报内容。	劳动关系,劳资关系纠纷,劳资关系诉讼
国际化发展	营业收入（万元）	营业收入
生产安全事故	企业评价期内发生的重大及以上等级的生产安全事故（重大事故是指造成10人以上30人以下死亡，或者50人以上100人以下重伤，或者5000万元以上1亿元以下直接经济损失的事故；）	生产安全事故,死亡率,因工死亡
员工发展	企业有员工培训制度，并请列出评价期的员工培训时长（平均XX小时/人）。	培训,晋升,选拔,提升,员工发展,升职通道
环境污染事件	在评价期内发生《国家突发环境应急预案》规定的、重大及以上突发环境事件（起）。	死亡人数,环境事故,环境事件,财产损失
客户关系管理	企业有客户关系管理制度、措施，并请提供相关佐证资料或网页链接。	客户满意度,顾客满意度,消费者满意度,客户关系,回访,客户投诉管理,客户管理,利益相关方,客户服务
生物多样性保护	在生产运营建设过程充分考虑了有可能对生物多样性产生的不利影响，并采取措施加以补救、补偿。	生物多样性,野生动植物,濒危动植物红树林,雪豹等,生物保护,生物多样性公约,动植物保护计划
运营活动损害	企业在经营地是否对社区有环境污染影响。	环境污染,厂房关闭,垃圾焚烧,运营,运营活动损害,经营活动危害,环境污染,厂房关闭,垃圾焚烧,危害生活质量,危害赋税,危害产权
残疾人雇佣违规	企业评价期内是否有违反残疾人雇佣规定的负面事件发生。	残疾人
水资源产出率	其他反映水资源产出水平的数据。	基准水压力,集团公司注册地所
水资源产出率	企业水资源产出率（企业增加值，元/吨或元/m3）	水资源产出率,单位产值,单位产品AND 新鲜水消耗量,水耗,耗水量,吨产品水耗,吨钢水耗
污染防治成效	评价期内缴纳环境税（费）数额（元）	排污费,环境税,环保税,环境保护税
环境治理投入	企业评价期内环境治理投资数额（万元）	环保投入,环保设备,环境治理投入,环保治理费用,清洁生产费用,环保设施运行费用
知识产权保护	企业有知识产权管理的体系（制度），请简述。	知识产权,专利,知识产权管理体系认证,产权管理
新产品创效	新产品（包括服务）的销售收入（万元）	新产品收入,新产品销售收入,新业务收入,推出新产品
研发投入	企业研发投入（万元）	主营业收入,营业收入
供应商管理体系	企业有供应商管理的体系或制度，请列举主要内容，并表述是否每年审核更新入围的供应商名单，请提供相关佐证资料或网页链接。	供应商,供应链,采购管理,采购管控,采购名单,采购名录,采购管理体系,采购选择,采购审核,采购平台,采购考核,采购评估
商业贿赂	企业在评价期内是否出现向政府官员或其他商业组织行贿问题，并构成犯罪，受到法院判决，请逐一列明。	贿赂,受贿,行贿,职务犯罪
就业政策落实	企业制定了就业政策或计划，并请简要说明。	就业,实习,创业,毕业生,应届生招聘
生产破坏臭氧层的化学物质	企业生产破坏臭氧层的化学物质。	臭氧层,氟氯烃,甲基氯仿,二氯甲烷,溴
教育培训支持	企业有针对社区教育事业发展的具体计划和行动。	教育扶贫,社区培训,企业授课,办产学研基地,流动站,教育支持,资助
能源产出率	其他反映能源产出水平的数据。	纳税总额
有害物质违规排放	企业（含一级分、子公司）因违规排放有害物质，而受到国家或省部级有关部门的通报批评或处罚。	超标排放,环境事故,污染
生态环境损害	在评价期内发生《国家突发环境应急预案》规定的、重大及以上突发环境事件（起）。	生态环境损害,生态环境破坏
纳税问题	企业及下属公司在评价期内是否出现税务问题受到国家税务机关的通报批评或处罚，请列出具体涉及公司名称及通报内容	纳税,税务,交税,缴税,税金罚款
政府沟通	企业遵守相关政府政策法规，认真贯彻落实。	政府座谈,政府调研,政府视察,政府走访
绿色采购	企业制定了明确的绿色采购管理办法，请简述。	绿色采购,责任采购
不正当竞争	企业及下属公司在评价期内是否因不正当竞争行为受到国家或省部级相关部门的通报、批评或处罚，如有，请列出下属公司名称及通报内容。	不正当竞争,垄断,掠夺性定价
国际化发展	企业的海外营业收入（万元）、海外净利润（万元）数额或者占比。	海外资产,境外资产
福利及退休保障	企业有员工福利及退休保障政策，并请简要列出相关文件政策列表。	福利,五险一金,保险社保,养老,医疗,生育,社会保险
绿色消费倡导	企业在媒体宣传方面有绿色消费相关的内容，并请提供相关佐证资料或网页链接。	绿色消费,绿色供应链,绿色出行,低碳出行
尊重社区文化	企业与经营所在地建立了良好关系和沟通机制，尊重其文化和风俗习惯，有当地社区的意见反馈渠道。	尊重主权尊重,领土,尊重宗教,尊重文化,尊重习俗,尊重人权
能源产出率	企业能源产出率（企业增加值，万元/吨标煤）	单位GDP,单位产值,单位营业收入,单位产品能耗,单位产品能源消耗量,单位产品吨钢能耗
新产品创效	主营业务收入（万元）	主营业务收入
供应商违规	企业评价期内主要供应商出现违法、违规行为，简述相关通报/处罚部门。	供应商违规,供应商违法,供应商处罚,供应商问题
生态修复	企业遵守执行政府有关生态保护的要求，请简述。	生态修复,植树,鱼苗放生,绿色矿山,污染场地,受损城镇村,大型基建区,工矿区,河湖湿地,航洋海岸,草原风沙区,森林,荒山,农田修复,保护环境,生态环境保护,生态补偿
多元化	其他多元化相关情况。	女性,女人,女性高管,女性员工,女性职工
利税贡献	企业净利润（万元）	综合能耗,能耗,能源消耗量,水耗,水消耗量,蒸汽,电量,水量,石油量,汽油量,柴油量,天然气量,千瓦时,标准煤,焦,节约,节水,节材,节电,节能
志愿者服务	企业有员工参与志愿者服务活动的相关方案和行动，并请简要描述。	志愿者,志愿服务,志愿活动,志愿服务队,志愿者协会,帮扶
利税贡献	企业评价期的利税总额（万元）	利税总额
